,Accepted Symbol,Synonym Symbol,Scientific Name,Invasive,C:N Ratio,Growth Rate,"Height at Base Age, Maximum (feet)","Height, Mature (feet)",Leaf Retention,Nitrogen Fixation,Adapted to Coarse Textured Soils,Adapted to Medium Textured Soils,"Frost Free Days, Minimum",Moisture Use,pH (Minimum),pH (Maximum),Precipitation (Minimum),Precipitation (Maximum),"Root Depth, Minimum (inches)",Shade Tolerance,"Temperature, Minimum (°F)",Commercial Availability,Propogated by Seed,Palatable Browse Animal,Sheffields Aval
277,CLLI2,,Clematis ligusticifolia,,Medium,Moderate,,1.0,No,None,Yes,Yes,120.0,Medium,5.6,8.4,12.0,20.0,16.0,Intermediate,-38.0,Routinely Available,Yes,Low,True
278,CLAL3,,Clethra alnifolia,,High,Moderate,16.0,16.0,No,None,Yes,Yes,150.0,High,4.5,7.0,35.0,60.0,16.0,Intermediate,-23.0,Routinely Available,Yes,Medium,True
279,CODI8,,Coccoloba diversifolia,,,Moderate,38.0,25.0,Yes,None,Yes,Yes,365.0,,,,,,36.0,Tolerant,40.0,Routinely Available,Yes,Medium,False
280,COUV,,Coccoloba uvifera,,High,Slow,25.0,25.0,Yes,None,Yes,Yes,365.0,Low,5.0,8.0,20.0,60.0,60.0,Intermediate,17.0,Routinely Available,Yes,Low,False
281,CONU,,Cocos nucifera,,High,Moderate,60.0,60.0,Yes,None,Yes,Yes,365.0,Low,4.0,8.0,20.0,80.0,60.0,Intolerant,18.0,Routinely Available,Yes,Low,False
282,COAR2,,Coffea arabica,,High,Moderate,,15.0,Yes,None,Yes,Yes,365.0,High,4.0,7.5,60.0,100.0,40.0,Tolerant,17.0,Routinely Available,Yes,,True
283,COCO13,,Conoclinium coelestinum,,,Moderate,,3.2,No,None,No,Yes,170.0,Medium,5.5,7.5,24.0,60.0,14.0,Tolerant,-13.0,Routinely Available,Yes,,False
284,COMA7,,Convallaria majalis,WI,High,Slow,,0.8,No,None,No,Yes,130.0,Medium,5.5,7.5,32.0,65.0,10.0,Tolerant,-33.0,Routinely Available,No,Low,False
285,COFR2,,Cordyline fruticosa,,Medium,Moderate,10.0,10.0,Yes,None,Yes,Yes,365.0,Medium,5.5,7.7,40.0,200.0,18.0,Intermediate,35.0,Routinely Available,No,,False
286,COLA5,,Coreopsis lanceolata,,Low,Moderate,,2.0,No,None,No,Yes,180.0,Medium,6.0,7.0,30.0,60.0,6.0,Intolerant,-8.0,Routinely Available,Yes,Low,True
287,COTI3,,Coreopsis tinctoria,"NE&GP, SWSS",Medium,Rapid,,3.0,No,None,No,Yes,90.0,High,5.2,7.8,20.0,55.0,8.0,Intermediate,52.0,Routinely Available,Yes,,False
288,COAM2,,Cornus amomum,,High,Moderate,7.0,10.0,No,None,Yes,Yes,110.0,High,5.0,7.0,36.0,60.0,16.0,Intermediate,-38.0,Routinely Available,Yes,Low,True
289,CODR,,Cornus drummondii,,High,Rapid,25.0,20.0,No,None,No,Yes,110.0,Low,4.5,7.5,32.0,55.0,20.0,Intermediate,-28.0,Routinely Available,Yes,High,True
290,COFL2,,Cornus florida,,High,Moderate,20.0,30.0,No,None,Yes,Yes,160.0,Low,4.8,7.7,28.0,80.0,18.0,Tolerant,-28.0,Routinely Available,Yes,Medium,True
291,COFO,,Cornus foemina,,Medium,Moderate,16.0,16.0,No,None,No,Yes,240.0,Medium,5.8,7.2,36.0,60.0,16.0,Intermediate,-3.0,Routinely Available,Yes,Medium,False
292,COMA21,,Cornus mas,,High,Slow,20.0,26.0,No,None,Yes,Yes,130.0,Medium,5.0,7.5,30.0,50.0,30.0,Intermediate,-27.0,Routinely Available,Yes,Medium,True
293,CORA6,,Cornus racemosa,,High,Moderate,6.0,10.0,No,None,No,Yes,130.0,Medium,4.8,7.4,24.0,60.0,16.0,Tolerant,-47.0,Routinely Available,Yes,Medium,True
294,COSEO,,Cornus sericea ssp. occidentalis,,High,Moderate,15.0,16.0,No,None,Yes,Yes,100.0,Medium,4.8,7.5,18.0,60.0,16.0,Intermediate,-35.0,Routinely Available,Yes,Medium,False
295,COSES,,Cornus sericea ssp. sericea,,High,Moderate,12.0,12.0,No,None,Yes,Yes,90.0,High,4.8,7.5,18.0,60.0,20.0,Intolerant,-38.0,Routinely Available,Yes,High,False
296,COAM3,,Corylus americana,,High,Moderate,10.0,10.0,No,None,No,Yes,100.0,Medium,5.0,7.0,32.0,60.0,20.0,Intermediate,-33.0,Routinely Available,Yes,Medium,True
297,COCO6,,Corylus cornuta,,,Moderate,15.0,15.0,No,None,No,Yes,90.0,Medium,4.8,7.5,20.0,80.0,16.0,Tolerant,-47.0,Routinely Available,Yes,Medium,True
298,COAC2,,Cotoneaster acutifolius,,High,Moderate,6.0,13.0,No,None,Yes,Yes,120.0,Medium,5.5,7.5,32.0,60.0,16.0,Intermediate,-38.0,Routinely Available,Yes,Low,True
299,COAP3,,Cotoneaster apiculatus,,High,Rapid,4.0,5.0,No,None,No,Yes,90.0,Medium,5.0,7.5,24.0,50.0,14.0,Intermediate,-33.0,Routinely Available,Yes,Low,True
300,COHO80,,Cotoneaster horizontalis,,High,Rapid,1.0,4.0,Yes,None,No,Yes,100.0,Medium,5.5,7.0,32.0,60.0,16.0,Tolerant,-28.0,Routinely Available,No,Low,True
301,CRAE,,Crataegus aestivalis,,Medium,Slow,26.0,26.0,No,None,No,Yes,180.0,High,4.3,7.3,34.0,60.0,18.0,Intolerant,-8.0,Routinely Available,Yes,High,False
302,CRCR2,,Crataegus crus-galli,,High,Moderate,30.0,30.0,No,None,Yes,Yes,90.0,Low,4.5,7.2,24.0,60.0,24.0,Intolerant,-33.0,Routinely Available,Yes,Medium,True
303,CRDO2,,Crataegus douglasii,,High,Moderate,15.0,15.0,No,None,Yes,Yes,120.0,High,4.8,7.5,16.0,260.0,12.0,Intermediate,-47.0,Routinely Available,Yes,High,True
304,CRMA5,,Crataegus marshallii,,Medium,Moderate,25.0,25.0,No,None,No,Yes,240.0,Medium,5.8,7.2,34.0,60.0,18.0,Tolerant,-3.0,Routinely Available,Yes,High,True
305,CRPH,,Crataegus phaenopyrum,,Medium,Moderate,25.0,30.0,No,None,No,Yes,160.0,Medium,4.3,7.0,32.0,60.0,30.0,Intolerant,-33.0,Routinely Available,Yes,Low,True
306,CRVI2,,Crataegus viridis,,Medium,Moderate,24.0,30.0,No,None,No,Yes,180.0,High,4.3,7.3,36.0,60.0,18.0,Intolerant,-24.0,Routinely Available,Yes,High,True
307,CRCU,,Crescentia cujete,,,Slow,49.0,33.0,Yes,None,Yes,No,365.0,,,,,,36.0,,40.0,Routinely Available,Yes,Low,False
308,CRJA3,,Cryptomeria japonica,,High,Rapid,35.0,55.0,Yes,None,No,Yes,180.0,Medium,5.5,7.0,36.0,55.0,24.0,Intolerant,-8.0,Routinely Available,Yes,,True
309,CYOB2,,Cydonia oblonga,,,Slow,16.0,16.0,No,None,Yes,Yes,120.0,Medium,5.0,6.5,24.0,60.0,30.0,Intolerant,-23.0,Routinely Available,Yes,,False
310,CYDA,,Cynodon dactylon,"KY, N'EAST, STATE, SWSS, WSWS",Low,Rapid,,1.4,No,None,Yes,Yes,160.0,High,5.0,8.0,32.0,100.0,14.0,Intolerant,-8.0,Routinely Available,Yes,Medium,True
311,CYES,,Cyperus esculentus,"KY, N'EAST, NE&GP, STATE, SWSS, WSWS",Medium,Rapid,,0.7,No,None,Yes,Yes,90.0,Low,5.0,7.0,14.0,55.0,10.0,Intolerant,42.0,Routinely Available,No,,False
312,CYHA,,Cyperus haspan,HEAR,High,Moderate,,3.2,No,None,Yes,Yes,230.0,Medium,4.5,7.5,35.0,60.0,16.0,Intolerant,7.0,Routinely Available,No,,False
313,CYOD,,Cyperus odoratus,SWSS,Medium,Moderate,,2.0,No,None,Yes,Yes,80.0,Medium,5.0,8.3,18.0,55.0,8.0,Intolerant,42.0,Routinely Available,No,,False
314,CYST,,Cyperus strigosus,SWSS,High,Moderate,,3.2,No,None,No,Yes,100.0,Medium,6.4,7.0,16.0,60.0,16.0,Intolerant,-33.0,Routinely Available,No,,False
315,CYSC4,,Cytisus scoparius,"Cal-IPC, STATE, WSWS",Low,Rapid,7.0,7.0,No,High,Yes,Yes,150.0,Low,5.5,7.0,30.0,60.0,16.0,Intolerant,-13.0,Routinely Available,Yes,Low,True
316,DAGL,,Dactylis glomerata,"N'EAST, NE&GP",Low,Moderate,,3.0,No,None,No,Yes,120.0,Medium,5.0,7.5,32.0,65.0,12.0,Tolerant,-33.0,Routinely Available,Yes,Medium,True
317,DACAC,,Dalea candida var. candida,,Medium,Moderate,,2.0,No,High,Yes,Yes,90.0,Medium,6.0,8.0,12.0,20.0,14.0,Intermediate,-38.0,Routinely Available,Yes,High,False
318,DAPUP,,Dalea purpurea var. purpurea,,Medium,Moderate,,3.0,No,Low,Yes,Yes,120.0,Medium,6.0,8.0,16.0,24.0,16.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
319,DACA3,,Danthonia californica,,,Moderate,,2.0,No,None,No,Yes,90.0,Medium,6.0,7.0,6.0,40.0,16.0,Intolerant,17.0,Routinely Available,Yes,Low,False
320,DAIN,,Danthonia intermedia,,Medium,Moderate,,1.5,No,None,Yes,No,80.0,Low,6.0,7.8,6.0,20.0,8.0,Intermediate,-33.0,Routinely Available,Yes,Low,False
321,DAFRF,,Dasiphora fruticosa ssp. floribunda,,,,,,,,,,,,,,,,,,,,,,False
322,DAFRF,DAFL3,Dasiphora floribunda,,High,Slow,,2.5,No,None,Yes,Yes,180.0,Low,5.0,8.0,16.0,40.0,18.0,Intermediate,-28.0,Routinely Available,Yes,Medium,False
323,DEVE,,Decodon verticillatus,,High,Rapid,,8.0,No,None,Yes,Yes,145.0,High,4.9,8.6,30.0,60.0,10.0,Intermediate,-23.0,Routinely Available,Yes,,False
324,DERE,,Delonix regia,,High,Rapid,50.0,50.0,No,Low,Yes,Yes,365.0,Medium,4.0,7.0,40.0,100.0,60.0,Intermediate,31.0,Routinely Available,Yes,,False
325,DEGL3,,Delphinium glaucum,,Medium,Rapid,,8.0,No,None,Yes,Yes,120.0,High,5.6,7.0,55.0,125.0,6.0,Tolerant,-28.0,Routinely Available,Yes,High,False
326,DECE,,Deschampsia cespitosa,,,,,,,,,,,,,,,,,,,,,,True
327,DECE,DECA18,Deschampsia caespitosa,,Medium,Moderate,,3.4,No,None,Yes,Yes,100.0,Low,4.8,7.2,14.0,24.0,14.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
328,DEDA,,Deschampsia danthonioides,,Medium,Moderate,,1.5,No,None,Yes,Yes,145.0,Medium,5.8,7.2,12.0,30.0,6.0,Intermediate,52.0,Routinely Available,Yes,Low,False
329,DEEL,,Deschampsia elongata,,Medium,Moderate,,3.0,No,None,Yes,Yes,90.0,Low,6.0,7.8,10.0,24.0,8.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
330,DEIL,,Desmanthus illinoensis,SWSS,Medium,Moderate,,3.0,No,Low,Yes,Yes,130.0,Medium,5.0,8.0,16.0,24.0,12.0,Intolerant,-18.0,Routinely Available,Yes,High,False
331,DEVI3,,Desmanthus virgatus,,Low,Slow,,2.0,Yes,Medium,Yes,Yes,365.0,Low,5.0,8.0,30.0,80.0,24.0,Tolerant,17.0,Routinely Available,Yes,High,False
332,DEHE9,,Desmodium heterophyllum,,Low,Rapid,1.0,0.5,Yes,Low,Yes,No,365.0,Medium,5.0,7.0,16.0,59.0,12.0,Tolerant,12.0,Routinely Available,Yes,High,False
333,DEIN3,,Desmodium incanum,,Low,Moderate,10.0,4.0,Yes,Low,Yes,No,269.0,Medium,5.0,7.0,39.0,118.0,12.0,Intolerant,6.0,Routinely Available,Yes,High,False
334,DIFO,,Dicentra formosa,,Low,Rapid,,1.5,No,None,Yes,Yes,200.0,Low,5.5,6.0,55.0,155.0,6.0,Tolerant,-23.0,Routinely Available,Yes,Low,False
335,DICL,,Dichanthelium clandestinum,,Medium,Slow,,2.0,No,None,Yes,Yes,130.0,Low,4.0,7.5,32.0,65.0,16.0,Intolerant,-33.0,Routinely Available,Yes,High,False
336,DIAR5,,Dichanthium aristatum,,Medium,Rapid,,3.0,No,None,Yes,Yes,120.0,Medium,5.5,7.0,24.0,60.0,18.0,Intolerant,22.0,Routinely Available,Yes,Low,False
337,DIER,,Digitaria eriantha,,Medium,Moderate,,2.0,No,None,Yes,Yes,180.0,Low,5.0,7.0,40.0,60.0,6.0,Intolerant,17.0,Routinely Available,No,Medium,False
338,DIVI5,,Diospyros virginiana,,High,Slow,25.0,55.0,No,None,Yes,Yes,200.0,Medium,4.7,7.5,30.0,80.0,36.0,Tolerant,-21.0,Routinely Available,Yes,Medium,True
339,DISP,,Distichlis spicata,"NE&GP, WSWS",High,Slow,,1.1,No,None,No,Yes,80.0,Medium,6.4,10.0,5.0,70.0,2.0,Intolerant,-35.0,Routinely Available,No,Low,False
340,DOPU,,Dodecatheon pulchellum,,Medium,,,2.0,No,None,Yes,Yes,100.0,Medium,6.0,7.8,12.0,30.0,8.0,Intermediate,-33.0,Routinely Available,Yes,Low,False
341,DOVI,,Dodonaea viscosa,,High,Rapid,15.0,15.0,Yes,None,Yes,Yes,310.0,Low,6.5,9.2,8.0,32.0,18.0,Intermediate,18.0,Routinely Available,Yes,,False
342,DRFR2,,Dracaena fragrans,,High,Slow,26.0,17.0,No,None,No,No,365.0,,,,,,12.0,Tolerant,40.0,Routinely Available,Yes,,False
343,DRAM,,Dracopis amplexicaulis,,Medium,Rapid,,2.0,No,None,Yes,Yes,120.0,High,6.0,7.5,10.0,60.0,6.0,Intolerant,32.0,Routinely Available,Yes,Low,False
344,DROC,,Dryas octopetala,,Medium,Rapid,1.0,0.3,Yes,Medium,Yes,No,120.0,Low,6.0,9.0,14.0,32.0,12.0,Intermediate,-62.0,Routinely Available,Yes,Low,False
345,DRCR4,,Dryopteris cristata,,,Moderate,,1.6,No,None,No,Yes,120.0,High,3.5,6.5,15.0,55.0,12.0,Tolerant,-33.0,Routinely Available,Yes,Low,False
346,DUAR3,,Dulichium arundinaceum,,High,Moderate,,2.6,No,None,Yes,Yes,100.0,High,4.7,7.5,16.0,60.0,18.0,Intermediate,-38.0,Routinely Available,Yes,,False
347,ECPA,,Echinacea pallida,,Medium,Moderate,,1.2,No,None,Yes,Yes,90.0,Medium,6.5,7.2,14.0,40.0,14.0,Intolerant,-33.0,Routinely Available,Yes,Low,True
348,ECPU,,Echinacea purpurea,,Medium,Moderate,,1.2,No,None,Yes,Yes,90.0,Medium,6.5,7.2,14.0,40.0,24.0,Intolerant,-33.0,Routinely Available,Yes,Low,True
349,ECFR,,Echinochloa frumentacea,,High,Rapid,,3.9,No,None,No,Yes,150.0,Medium,4.7,7.4,18.0,60.0,8.0,Intolerant,37.0,Routinely Available,Yes,Medium,False
350,ELAN,,Elaeagnus angustifolia,"Cal-IPC, NE&GP, STATE, WI, WSWS",Medium,Rapid,35.0,35.0,No,High,Yes,Yes,100.0,High,6.0,9.5,12.0,40.0,20.0,Intolerant,-38.0,Routinely Available,Yes,Low,True
351,ELAC,,Eleocharis acicularis,,Medium,Moderate,,0.7,No,None,No,Yes,110.0,Medium,4.5,7.0,14.0,50.0,10.0,Intolerant,-23.0,Routinely Available,Yes,,False
352,ELCE,,Eleocharis cellulosa,,Medium,Moderate,,2.6,No,None,Yes,Yes,230.0,High,5.7,8.8,36.0,60.0,10.0,Intolerant,12.0,Routinely Available,Yes,,False
353,ELEQ,,Eleocharis equisetoides,,High,Moderate,,3.2,No,None,Yes,Yes,90.0,High,5.0,7.0,35.0,60.0,8.0,Intolerant,-33.0,Routinely Available,Yes,,False
354,ELOB2,,Eleocharis obtusa,,High,Moderate,,1.6,No,None,Yes,Yes,120.0,Medium,4.1,8.7,18.0,60.0,10.0,Intolerant,37.0,Routinely Available,Yes,,False
355,ELOV,,Eleocharis ovata,,High,Moderate,,1.5,No,None,Yes,Yes,90.0,Medium,4.6,6.8,32.0,60.0,6.0,Intolerant,47.0,Routinely Available,Yes,,False
356,ELPA3,,Eleocharis palustris,,High,Moderate,,1.3,No,None,Yes,No,100.0,High,4.0,8.0,16.0,60.0,14.0,Intolerant,-38.0,Routinely Available,Yes,,False
357,ELPA5,,Eleocharis parvula,,High,Moderate,,1.2,No,None,Yes,Yes,80.0,Medium,6.0,8.0,18.0,60.0,10.0,Intolerant,-38.0,Routinely Available,Yes,,False
358,ELQU,,Eleocharis quadrangulata,,High,Moderate,,4.0,No,None,Yes,Yes,150.0,High,5.8,7.2,24.0,60.0,8.0,Intolerant,-28.0,Routinely Available,Yes,,False
359,ELCA7,,Elodea canadensis,SWSS,High,Rapid,,,No,None,No,No,160.0,High,4.8,7.8,12.0,60.0,0.0,Intolerant,-33.0,Routinely Available,Yes,,False
360,ELCA4,,Elymus canadensis,,Medium,Rapid,,3.0,No,None,Yes,Yes,90.0,Medium,5.0,7.9,20.0,45.0,16.0,Tolerant,-43.0,Routinely Available,Yes,Medium,True
361,ELGL,,Elymus glaucus,,Medium,Rapid,,3.3,No,None,Yes,Yes,110.0,Low,5.8,8.5,16.0,60.0,12.0,Tolerant,-38.0,Routinely Available,Yes,Low,False
362,ELLAL,,Elymus lanceolatus ssp. lanceolatus,,Medium,Moderate,,2.3,No,None,Yes,Yes,90.0,Low,6.6,8.4,8.0,25.0,16.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
363,ELRI,,Elymus riparius,,Medium,Moderate,,4.5,No,None,Yes,Yes,100.0,High,4.5,7.2,24.0,55.0,10.0,Tolerant,-33.0,Routinely Available,Yes,,True
364,ELTRT,,Elymus trachycaulus ssp. trachycaulus,,Medium,Rapid,,3.0,No,None,No,Yes,90.0,Medium,5.6,9.0,8.0,25.0,16.0,Intolerant,-38.0,Routinely Available,Yes,High,False
365,ELVI3,,Elymus virginicus,,Medium,Moderate,,2.5,No,None,Yes,Yes,130.0,Medium,5.0,7.0,36.0,55.0,16.0,Tolerant,-28.0,Routinely Available,Yes,High,True
366,EMNI,,Empetrum nigrum,,High,Slow,1.0,1.0,No,None,No,Yes,90.0,Low,4.3,7.8,16.0,55.0,16.0,Intolerant,-43.0,Routinely Available,Yes,,False
367,EPCO,,Epilobium coloratum,,,Moderate,,3.3,No,None,No,Yes,100.0,High,4.5,7.5,20.0,55.0,10.0,Intermediate,-33.0,Routinely Available,Yes,Medium,False
368,EQAR,,Equisetum arvense,"N'EAST, NE&GP, WSWS",,Rapid,,0.9,No,None,Yes,Yes,100.0,High,4.0,7.0,20.0,100.0,6.0,Intermediate,-43.0,Routinely Available,Yes,Low,False
369,EQFL,,Equisetum fluviatile,,High,Rapid,,3.0,No,None,Yes,Yes,100.0,High,4.5,6.0,30.0,55.0,6.0,Intolerant,-33.0,Routinely Available,No,,False
370,EQSY,,Equisetum sylvaticum,,,Rapid,,0.9,No,None,Yes,Yes,100.0,Low,4.0,6.5,20.0,100.0,6.0,Tolerant,-43.0,Routinely Available,Yes,Low,False
371,ERCU2,,Eragrostis curvula,,High,Rapid,,3.0,No,None,Yes,Yes,160.0,Medium,4.5,8.5,15.0,40.0,14.0,Intolerant,-8.0,Routinely Available,Yes,Low,False
372,ERLE,,Eragrostis lehmanniana,,Medium,Rapid,,2.5,No,None,Yes,Yes,210.0,Low,5.0,8.5,10.0,30.0,10.0,Intolerant,8.0,Routinely Available,Yes,Low,False
373,ERSU,,Eragrostis superba,,Medium,Rapid,,3.5,No,None,Yes,Yes,210.0,Medium,4.5,8.0,10.0,40.0,16.0,Intolerant,12.0,Routinely Available,Yes,Medium,False
374,ERTR3,,Eragrostis trichodes,,Medium,Rapid,,3.5,No,None,Yes,No,120.0,Medium,6.0,8.5,14.0,35.0,16.0,Intolerant,-23.0,Routinely Available,Yes,High,False
375,EROP,,Eremochloa ophiuroides,,High,Rapid,,0.4,No,None,Yes,Yes,200.0,Medium,5.0,7.5,34.0,60.0,12.0,Intermediate,12.0,Routinely Available,No,Low,False
376,ERNAN5,,Ericameria nauseosa ssp. nauseosa var. nauseosa,,High,Slow,4.0,4.0,No,None,Yes,Yes,150.0,Medium,7.5,8.7,6.0,20.0,20.0,Intolerant,-38.0,Routinely Available,Yes,Low,False
377,ERPE3,,Erigeron peregrinus,,Medium,Moderate,,2.0,No,None,Yes,Yes,80.0,High,6.4,7.5,12.0,20.0,8.0,Intermediate,-38.0,Routinely Available,Yes,Low,False
378,ERPH,,Erigeron philadelphicus,SWSS,Medium,Moderate,,2.8,No,None,No,Yes,110.0,Medium,4.8,7.8,18.0,55.0,10.0,Intermediate,-28.0,Routinely Available,Yes,,False
379,ERDE5,,Eriocaulon decangulare,,High,Moderate,,2.6,No,None,Yes,Yes,160.0,Medium,4.0,7.6,40.0,60.0,18.0,Intolerant,-8.0,Routinely Available,Yes,,False
380,ERFA2,,Eriogonum fasciculatum,,High,Moderate,3.0,3.0,No,None,Yes,Yes,180.0,Low,7.5,8.5,8.0,20.0,10.0,Intolerant,7.0,Routinely Available,Yes,Medium,False
381,ERNI2,,Eriogonum niveum,,High,Slow,1.0,1.5,No,None,Yes,Yes,120.0,Low,6.5,8.0,6.0,18.0,12.0,Intermediate,-23.0,Routinely Available,Yes,High,False
382,ERUM,,Eriogonum umbellatum,,High,Slow,1.0,1.0,No,None,Yes,Yes,140.0,Low,6.5,9.0,8.0,18.0,20.0,Intolerant,7.0,Routinely Available,Yes,Medium,False
383,ERAN6,,Eriophorum angustifolium,,High,Moderate,,2.0,No,None,Yes,Yes,100.0,High,4.0,6.5,24.0,55.0,10.0,Intolerant,-43.0,Routinely Available,Yes,,False
384,ERSA11,,Erythrina sandwicensis,,Low,Moderate,30.0,30.0,No,High,Yes,Yes,365.0,Medium,5.5,7.0,25.0,35.0,36.0,Intermediate,50.0,Routinely Available,Yes,,False
385,ESCA2,,Eschscholzia californica,SEEPPC,Medium,Moderate,,1.2,No,None,No,Yes,120.0,Low,5.8,7.5,8.0,18.0,10.0,Intermediate,7.0,Routinely Available,Yes,Low,True
386,EURA14,,Eubotrys racemosus,,,,,,,,,,,,,,,,,,,,,,False
387,EURA14,LERA4,Leucothoe racemosa,,High,Moderate,13.0,13.0,No,None,No,Yes,210.0,Medium,4.5,6.0,45.0,50.0,12.0,Tolerant,-33.0,Routinely Available,Yes,Medium,False
388,EUCA2,,Eucalyptus camaldulensis,,High,Rapid,60.0,120.0,Yes,None,Yes,Yes,180.0,High,5.0,8.5,20.0,100.0,20.0,Intermediate,17.0,Routinely Available,Yes,Low,True
389,EUGL,,Eucalyptus globulus,"Cal-IPC, HEAR",High,Rapid,80.0,160.0,Yes,None,Yes,Yes,240.0,High,5.0,6.8,21.0,60.0,24.0,Intolerant,17.0,Routinely Available,Yes,Low,True
390,EURO2,,Eucalyptus robusta,HEAR,High,Rapid,85.0,160.0,Yes,None,Yes,Yes,340.0,Medium,4.5,6.5,40.0,250.0,24.0,Intolerant,16.0,Routinely Available,Yes,Low,True
391,EUSA,,Eucalyptus saligna,,High,Rapid,130.0,160.0,Yes,None,Yes,Yes,340.0,Medium,4.0,6.0,60.0,200.0,24.0,Intolerant,21.0,Routinely Available,Yes,Low,False
392,EUAM9,,Euonymus americanus,,,,,,,,,,,,,,,,,,,,,,False
393,EUAM9,EUAM7,Euonymus americana,,Medium,Moderate,8.0,6.0,No,None,Yes,Yes,120.0,High,5.0,6.0,35.0,70.0,8.0,Intermediate,-23.0,Routinely Available,Yes,Low,False
394,EUGL19,,Eurybia glauca,,Medium,Moderate,,2.0,No,None,Yes,Yes,130.0,Medium,5.9,8.0,10.0,20.0,10.0,Intolerant,-43.0,Routinely Available,Yes,Low,False
395,EUMA27,,Eurybia macrophylla,,High,Moderate,,4.6,No,None,No,Yes,90.0,Medium,4.9,6.9,35.0,55.0,10.0,Tolerant,-28.0,Routinely Available,Yes,Low,False
396,EUFI14,,Eutrochium fistulosum,,,,,,,,,,,,,,,,,,,,,,True
397,EUFI14,EUFI,Eupatorium fistulosum,KY,High,Rapid,,6.0,No,None,No,Yes,120.0,High,4.5,7.0,35.0,50.0,16.0,Intermediate,-28.0,Routinely Available,No,Low,False
398,EUMAM4,,Eutrochium maculatum var. maculatum,,,,,,,,,,,,,,,,,,,,,,False
399,EUMAM4,EUMAM,Eupatorium maculatum var. maculatum,,High,Rapid,,6.0,No,None,No,Yes,120.0,High,5.5,7.0,35.0,50.0,16.0,Intermediate,-28.0,Routinely Available,No,Low,False
400,FATA,,Fagopyrum tataricum,SWSS,Medium,Rapid,,1.4,No,None,Yes,Yes,155.0,Low,4.6,6.5,35.0,55.0,8.0,Intolerant,42.0,Routinely Available,Yes,Medium,False
401,FAGR,,Fagus grandifolia,,High,Slow,30.0,80.0,No,None,Yes,Yes,92.0,Medium,4.1,7.2,28.0,80.0,32.0,Tolerant,-44.0,Routinely Available,Yes,Low,True
402,FEAR2,,Festuca arizonica,,High,Slow,,2.0,No,None,No,No,150.0,Low,6.5,7.5,10.0,16.0,10.0,Intolerant,-23.0,Routinely Available,Yes,Medium,False
403,FEBR7,,Festuca brevipila,,,,,,,,,,,,,,,,,,,,,,False
404,FEBR7,FETR3,Festuca trachyphylla,,High,Slow,,0.5,No,None,Yes,Yes,90.0,Low,4.5,8.5,12.0,26.0,10.0,Intolerant,-38.0,Routinely Available,Yes,Medium,False
405,FEHE2,,Festuca heteromalla,,High,Moderate,,2.1,No,None,No,Yes,100.0,Low,5.0,8.0,24.0,50.0,12.0,Tolerant,-43.0,Routinely Available,Yes,Low,False
406,FEOV,,Festuca ovina,,Medium,Moderate,,0.5,No,None,Yes,Yes,90.0,Low,5.5,7.5,12.0,30.0,10.0,Intermediate,-43.0,Routinely Available,Yes,Medium,True
407,FERU2,,Festuca rubra,,Medium,Moderate,,2.0,No,None,No,Yes,90.0,Medium,5.0,7.5,30.0,70.0,12.0,Tolerant,-43.0,Routinely Available,Yes,Medium,True
408,FOAC,,Forestiera acuminata,,,Moderate,30.0,33.0,No,None,No,Yes,140.0,High,6.0,8.0,35.0,50.0,12.0,Tolerant,-18.0,Routinely Available,Yes,,False
409,FOSU,,Forsythia suspensa,,High,Rapid,6.0,6.0,No,None,No,Yes,100.0,Medium,5.0,7.5,32.0,60.0,16.0,Intolerant,-43.0,Routinely Available,No,Low,True
410,FOGA,,Fothergilla gardenii,,Medium,Moderate,4.0,4.0,No,None,No,Yes,120.0,High,5.0,6.0,35.0,90.0,12.0,Intermediate,-8.0,Routinely Available,Yes,Low,False
411,FRCAC5,,Frangula californica ssp. californica,,Low,Rapid,5.0,5.0,Yes,None,Yes,Yes,180.0,Medium,6.0,8.3,14.0,24.0,16.0,Intolerant,7.0,Routinely Available,Yes,Low,False
412,FRAL,,Franklinia alatamaha,,High,Moderate,30.0,30.0,No,None,Yes,Yes,200.0,High,5.5,7.0,32.0,60.0,24.0,Intermediate,-3.0,Routinely Available,Yes,Low,True
413,FRAM2,,Fraxinus americana,N'EAST,High,Moderate,40.0,90.0,No,None,Yes,Yes,90.0,High,4.7,7.5,28.0,80.0,40.0,Intolerant,-34.0,Routinely Available,Yes,Medium,True
414,FRCA3,,Fraxinus caroliniana,,,Moderate,39.0,39.0,No,None,Yes,Yes,200.0,High,3.5,6.0,36.0,65.0,12.0,Tolerant,2.0,Routinely Available,Yes,Low,True
415,FRLA,,Fraxinus latifolia,,High,Moderate,35.0,70.0,No,None,Yes,Yes,180.0,Medium,4.8,7.0,20.0,118.0,24.0,Intermediate,-8.0,Routinely Available,Yes,Low,False
416,FRNI,,Fraxinus nigra,,Medium,Slow,20.0,65.0,No,None,Yes,Yes,80.0,High,4.4,8.2,20.0,50.0,40.0,Intolerant,-47.0,Routinely Available,Yes,Medium,False
